Group,Treatment,host bean,sex,stage,media,dilution,color,gloss ,form,elevation,CFU # (counted),CFU#
"DH, IA, CT",Pseudo,BEP,F,Adult,PEA,No,Off-white,Glossy,Circular,Flat,1083,
"DH, IA, CT",Control,BEP,F,Adult,PEA,No,Off-white,Matte,Circular,Flat,1091,
OB,Psuedo,BEP,F,Adult,PEA,No,Off-white,Matte,Irregular/Circular,Flat,2000,
OB,Control,BEP,F,Adult,PEA,No,Off-white,Matte,Irregular/Circular,Flat,3780,
CL NK,Control,BEP,Female,Adult,PEA,No,Off-white,Glossy,Circular,Raised,4520,
CL NK,Pseudo,BEP,Female,Adult,PEA,No,Off-white,Glossy,Circular,Raised,5208,
IG SW WP AN,Sterile,BEP,Male,Adult,PEA,No,White,Matte,Circular,Raised,3000,
IG SW WP AN,Unsterile,BEP,Male,Adult,PEA,no,White,Matte,Irregular,Raised,3500,
END,Unsterilized,BEP,Male,Adult,PEA,No,off-white,glossy,irregular ,raised,1300,
END,Sterilized,BEP,Male,Adult,PEA,No,off-white,glossy,circular,raised,180,
END,Sterilized,BEP,Male,Adult,PEA,No,off-white,glossy,circular,flat,145,
SAN,Sterile,BEP,male,adult,PEA,no,off-white,glossy,irregular,raised,132,
SAN,Sterile,BEP,male,adult,PEA,no,off-white,matte,Circular,flat,935,
